reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
HJTQHM26WW004,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/rosebud-heart-by-harry-winston-w2/red-alligator-leather-hjtqhm26ww004,N/A,Harry Winston,N/A,N/A,Rosebud Heart by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,26 mm,N/A,N/A,6.5 mm,N/A,N/A,N/A,3,N/A,white beaded mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            46 baguette-cut diamonds (approx. 1.54 cts)9 baguette-cut rubies (approx. 0.25 carat)6 pear-cut diamonds (approx. 0.99 carat)1 brilliant-cut diamond (approx. 0.002 carat)"
HJTQHM36WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/marquise-time-by-harry-winston-w1/blue-satin-hjtqhm36ww001,N/A,Harry Winston,N/A,N/A,Marquise Time by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,36.5 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            30 brilliant-cut diamonds (approx. 0.16 carat)24 brilliant-cut aquamarines (approx. 0.43 carat)20 pear-cut diamonds (approx. 2.56 cts)20 pear-cut aquamarines (approx. 1 carat)"
HJTQHM27WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/rosebud-by-harry-winston-w1/black-satin-hjtqhm27ww001,N/A,Harry Winston,N/A,N/A,Rosebud by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,27 mm,N/A,N/A,12 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            167 brilliant-cut diamonds (approx. 2.27 cts)26 pear-cut diamonds (approx. 2.69 cts)16 baguette-cut diamonds (approx. 1.15 cts)"
HJTQHM16PP001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/diamond-links-by-harry-winston-p1/platinum-hjtqhm16pp001,N/A,Harry Winston,N/A,N/A,Diamond Links by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,16.5 x 20.4 mm,N/A,N/A,6.3 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            172 brilliant-cut diamonds (approx. 10.32 cts)"
HJTQHM18PP010,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/precious-emerald-by-harry-winston-p2/platinum-hjtqhm18pp010,N/A,Harry Winston,N/A,N/A,Precious Emerald by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.5 x 17.5 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"green beaded mother-of-pearl
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            136 marquise-cut diamonds (approx. 14.95 cts)28 brilliant-cut diamonds (approx. 0.24 carat)"
HJTQHM18WW037,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/mini-twist-by-harry-winston-w1/18k-white-gold-hjtqhm18ww037,N/A,Harry Winston,N/A,N/A,Mini Twist by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,18.5 mm,N/A,N/A,6.5 mm,N/A,N/A,N/A,3,N/A,"diamond setting
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            178 brilliant-cut diamonds (approx. 2.19 cts)"
PRNAHM36WW029,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/premier-hypnotic-chrysanthemum-automatic-36mm-w2/turquoise-pearl-alligator-leather-prnahm36ww029,N/A,Harry Winston,N/A,N/A,Premier Hypnotic Chrysanthemum Automatic 36mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,36.4 mm,N/A,N/A,10.5 mm,N/A,N/A,N/A,3,N/A,"three-dimensional invisible setting
opal",N/A,18K white gold,N/A,18K white gold,automatic,HW2008,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            249 baguette-cut diamonds (approx. 10.24 cts)164 brilliant-cut diamonds (approx. 0.72 carat)32 marquise-cut diamonds (approx. 0.70 carat)1 brilliant-cut light blue sapphire (approx. 0.06 carat)"
HJTQHM36PP003,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/winston-kaleidoscope-high-jewelry-watch-by-harry-winston-p3/black-satin-hjtqhm36pp003,N/A,Harry Winston,N/A,N/A,Winston Kaleidoscope High Jewelry Watch by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,36 mm,N/A,N/A,7 mm,N/A,N/A,N/A,3,N/A,"diamond setting
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            114 brilliant-cut diamonds (approx. 1.60 cts)42 brilliant-cut tsavorites (approx. 1.82 cts)29 brilliant-cut blue sapphires (approx. 1.65 cts)28 brilliant-cut orange spessartites (approx. 1.38 cts)14 brilliant-cut yellow sapphires (approx. 1.21 cts)"
HJTQHM18WW036,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/links-signature-by-harry-winston-w1/black-satin-hjtqhm18ww036,N/A,Harry Winston,N/A,N/A,Links Signature by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,18 x 31 mm,N/A,N/A,7.3 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            56 brilliant-cut diamonds (approx. 1.73 cts)"
HJTQHM36PP001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/winston-kaleidoscope-high-jewelry-watch-by-harry-winston-p1/black-satin-hjtqhm36pp001,N/A,Harry Winston,N/A,N/A,Winston Kaleidoscope High Jewelry Watch by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,36 mm,N/A,N/A,7 mm,N/A,N/A,N/A,3,N/A,"diamond setting
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            205 brilliant-cut diamonds (approx. 1.65 cts)40 pear-cut diamonds (approx. 7.42 cts)10 marquise-cut diamonds (approx. 2.85 cts)"
HJTQHM20PP006,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/precious-cluster-by-harry-winston-p1/platinum-hjtqhm20pp006,N/A,Harry Winston,N/A,N/A,Precious Cluster by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,19.7 mm,N/A,N/A,6.6 mm,N/A,N/A,N/A,3,N/A,"diamond setting
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            111 brilliant-cut diamonds (approx. 0.28 carat)50 baguette-cut diamonds (approx. 4.19 cts)10 pear-cut diamonds (approx. 2.17 cts)2 trilliant-cut diamonds (approx. 0.67 carat)"
HJTQHM35PP001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/halo-high-jewelry-watch-by-harry-winston-p1/platinum-hjtqhm35pp001,N/A,Harry Winston,N/A,N/A,Halo High Jewelry Watch by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,34 mm,N/A,N/A,8.6 mm,N/A,N/A,N/A,3,N/A,diamond setting,N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            180 pear-shaped diamonds (approx. 74.04 cts)
149 brilliant-cut diamonds (approx. 2.67 cts)"
HJTQHM18PP015,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/precious-emerald-by-harry-winston-p4/platinum-hjtqhm18pp015,N/A,Harry Winston,N/A,N/A,Precious Emerald by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.5 x 17.5 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"intense red beaded mother-of-pearl
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            136 marquise diamonds (approx. 14.95 cts)
28 brilliant-cut diamonds (approx. 0.24 carat)"
HJTQHM23PP001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/semira-by-harry-winston-p1/platinum-hjtqhm23pp001,N/A,Harry Winston,N/A,N/A,Semira by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,23.5 mm,N/A,N/A,6.6 mm,N/A,N/A,N/A,3,N/A,diamond setting,N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            283 brilliant-cut diamonds (approx. 10.88 cts)2 baguette-cut diamonds (approx. 0.43 carat)"
HJTQHM63WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/the-jewelers-secret-by-harry-winston-w1/18k-white-gold-hjtqhm63ww001,N/A,Harry Winston,N/A,N/A,The Jewelers Secret by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,63 mm,N/A,N/A,17.3 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,N/A,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,N/A
HJTQHM18PP017,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/precious-emerald-by-harry-winston-p7/platinum-hjtqhm18pp017,N/A,Harry Winston,N/A,N/A,Precious Emerald by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.5 x 17.5 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"blue beaded mother-of-pearl
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            136 marquise diamonds (approx. 14.95 cts)
28 brilliant-cut diamonds (approx. 0.24 carat)"
HJTQHM51WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/my-precious-time-by-harry-winston-w1/18k-white-gold-hjtqhm51ww001,N/A,Harry Winston,N/A,N/A,My Precious Time by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17 x 21 mm,N/A,N/A,8 mm,N/A,N/A,N/A,3,N/A,white beaded mother-of-pearl,N/A,18K white gold,N/A,N/A,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,N/A
HJTQHM18PP016,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/precious-emerald-by-harry-winston-p6/platinum-hjtqhm18pp016,N/A,Harry Winston,N/A,N/A,Precious Emerald by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.5 x 17.5 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"yellow beaded mother-of-pearl
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            136 marquise diamonds (approx. 14.95 cts)
28 brilliant-cut diamonds (approx. 0.24 carat)"
HJTQAL66WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/travel-time-by-harry-winston-w1/18k-white-gold-hjtqal66ww001,N/A,Harry Winston,N/A,N/A,Travel Time by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,66 x 39 mm,N/A,N/A,13 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K white gold blue aventurine,N/A,N/A,quartz,HW5301,N/A,N/A,N/A,"hours and minutes
date
alarm",N/A,N/A
OCEAMP42RR003,https://www.harrywinston.com/en/products/harry-winston-the-ocean-collection/ocean-date-moon-phase-baguette-automatic-42mm-r1/green-alligator-leather-oceamp42rr003,N/A,Harry Winston,N/A,N/A,Ocean Date Moon Phase Baguette Automatic 42mm,N/A,Limited edition: 25 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,42.2 mm,N/A,N/A,10.5 mm,N/A,N/A,N/A,10,N/A,"green with sunray satin-brushed finish
moon phase disc with blue varnish and handmade 18K yellow gold moon cabochon",N/A,18K rose gold,N/A,18K rose gold,automatic,HW3203,N/A,N/A,N/A,"excentered hours and minutes
date
moon phase",N/A,"Total gem-setting

                            93 baguette-cut emeralds (approx. 2.60 cts)
72 baguette-cut diamonds (approx. 1.67 cts)
49 brilliant-cut diamonds (approx. 0.08 cts)
1 Emerald-cut diamond (approx. 0.06 carat)"
HJTQHM36RR001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/marquise-time-by-harry-winston-r1/black-satin-hjtqhm36rr001,N/A,Harry Winston,N/A,N/A,Marquise Time by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,36.5 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            54 brilliant-cut diamonds (approx. 0.76 carat)40 pear-cut diamonds (approx. 3.96 cts)"
HJTQHM26WW003,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/rosebud-heart-by-harry-winston-w1/black-satin-hjtqhm26ww003,N/A,Harry Winston,N/A,N/A,Rosebud Heart by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,26 mm,N/A,N/A,6.5 mm,N/A,N/A,N/A,3,N/A,white beaded mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            86 brilliant-cut diamonds (approx. 1.27 cts)"
HJTAHM36PP001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/twist-automatic-by-harry-winston-p1/platinum-hjtahm36pp001,N/A,Harry Winston,N/A,N/A,Twist Automatic by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,36 mm,N/A,N/A,10.5 mm,N/A,N/A,N/A,3,N/A,three-dimensional setting,N/A,platinum,N/A,platinum,automatic,HW2008,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            346 baguette-cut diamonds (approx. 13.92 cts)196 marquise-cut rubies (approx. 13.54 cts)168 marquise-cut diamonds (approx. 7.87 cts)5 brilliant-cut rubies (approx. 0.27 carat)"
HJTQHM54WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/my-precious-time-by-harry-winston-w2/18k-white-gold-hjtqhm54ww001,N/A,Harry Winston,N/A,N/A,My Precious Time by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17 x 21 mm,N/A,N/A,8 mm,N/A,N/A,N/A,3,N/A,diamond setting,N/A,18K white gold,N/A,N/A,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,N/A
HJTQHM25WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/sublime-timepiece-by-harry-winston-w1/black-satin-hjtqhm25ww001,N/A,Harry Winston,N/A,N/A,Sublime Timepiece by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,25.3 x 23.1 mm,N/A,N/A,7 mm,N/A,N/A,N/A,3,N/A,"gray mother-of-pearl
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            207 brilliant-cut diamonds (approx. 1.97 cts)2 baguette-cut diamonds (approx. 0.22 carat)2 marquise-cut diamonds (approx. 0.24 carat)"
OCEAMP42WW005,https://www.harrywinston.com/en/products/harry-winston-the-ocean-collection/ocean-date-moon-phase-baguette-automatic-42mm-w1/blue-alligator-leather-oceamp42ww005,N/A,Harry Winston,N/A,N/A,Ocean Date Moon Phase Baguette Automatic 42mm,N/A,Limited edition: 25 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,42.2 mm,N/A,N/A,10.5 mm,N/A,N/A,N/A,10,N/A,"blue ruthenium crystals
moon phase disc with blue varnish and handmade 18K yellow gold moon cabochon",N/A,18K white gold,N/A,18K white gold,automatic,HW3203,N/A,N/A,N/A,"excentered hours and minutes
date
moon phase",N/A,"Total gem-setting

                            93 baguette-cut blue sapphires (approx. 4.33 cts)
72 baguette-cut diamonds (approx. 1.67 cts)
49 brilliant-cut diamonds (approx. 0.08 carat)
1 Emerald-cut diamond (approx. 0.06 carat)"
HJTQHM48WW001,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/the-jewelers-secret-pendant-by-harry-winston-w1/18k-white-gold-hjtqhm48ww001,N/A,Harry Winston,N/A,N/A,The Jewelers Secret Pendant by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,47.5 mm,N/A,N/A,11.4 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,N/A,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,N/A
HJTQHM34PP002,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/winston-candy-high-jewelry-watch-by-harry-winston-p1/platinum-hjtqhm34pp002,N/A,Harry Winston,N/A,N/A,Winston Candy High Jewelry Watch by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,32.2 mm,N/A,N/A,9.47 mm,N/A,N/A,N/A,3,N/A,"red beaded mother-of-pearl
orange beaded mother-of-pearl lace",N/A,platinum 18K yellow gold,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            64 pear-shaped diamonds (approx. 25.07 cts)
59 brilliant-cut blue sapphires (approx. 4.26 cts)
42 baguette-cut orange spessartites (approx. 1.03 cts)
21 brilliant-cut orange spessartites (approx. 3.62 cts)
8 brilliant-cut tsavorites (approx. 0.77 carat)
3 pear-shaped tsavorites (approx. 1.63 cts)"
HJTQHM18PP005,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/art-deco-by-harry-winston-p1/platinum-hjtqhm18pp005,N/A,Harry Winston,N/A,N/A,Art Deco by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,18 x 30 mm,N/A,N/A,6.8 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            246 brilliant-cut diamonds (approx. 13.43 cts)7 baguette-cut diamonds (approx. 1.55 cts)"
HJTQHM18PP002,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/cluster-by-harry-winston-p1/platinum-hjtqhm18pp002,N/A,Harry Winston,N/A,N/A,Cluster by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,18 mm,N/A,N/A,6.4 mm,N/A,N/A,N/A,3,N/A,diamond setting,N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            328 brilliant-cut diamonds (approx. 5.42 cts)22 marquise-cut diamonds (approx. 8.80 cts)21 pear-cut diamonds (approx. 18.90 cts)"
OCEABI42ZZ004,https://www.harrywinston.com/en/products/harry-winston-the-ocean-collection/zalium-variation-turquoise-orange-z1/turquoise-alligator-leather-with-orange-rubber-base-oceabi42zz004,N/A,Harry Winston,N/A,N/A,Zalium Variation Turquoise/Orange,N/A,Limited edition: 50 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,42.2 mm,N/A,N/A,10.6 mm,N/A,N/A,N/A,10,N/A,"openworked dial with black sandblasting
black and turquoise retrograde counters
chapter ring with black orange and turquoise satin-brushed finish
luminescent 18K gold Emerald applique and rhodium-plated indexes",N/A,Zalium,N/A,Zalium,automatic,HW3305,N/A,N/A,N/A,"excentered hours and minutes
retrograde seconds
retrograde days
date",N/A,"Limited edition

                            50"
OCEABI42ZZ006,https://www.harrywinston.com/en/products/harry-winston-the-ocean-collection/zalium-variation-white-navy-blue-z1/white-alligator-leather-with-navy-blue-rubber-base-oceabi42zz006,N/A,Harry Winston,N/A,N/A,Zalium Variation White/Navy Blue,N/A,Limited edition: 50 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,42.2 mm,N/A,N/A,10.6 mm,N/A,N/A,N/A,10,N/A,"openworked dial with navy blue sandblasting
white and navy blue retrograde counters
chapter ring with white and navy blue satin-brushed finish
luminescent 18K gold Emerald applique and rhodium-plated indexes",N/A,Zalium,N/A,Zalium,automatic,HW3305,N/A,N/A,N/A,"excentered hours and minutes
retrograde seconds
retrograde days
date",N/A,"Limited edition

                            50"
OCEABI42ZZ005,https://www.harrywinston.com/en/products/harry-winston-the-ocean-collection/zalium-variation-neon-green-black-z1/neon-green-alligator-leather-with-black-rubber-base-oceabi42zz005,N/A,Harry Winston,N/A,N/A,Zalium Variation Neon Green/Black,N/A,Limited edition: 50 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,42.2 mm,N/A,N/A,10.6 mm,N/A,N/A,N/A,10,N/A,"openworked dial with black sandblasting
black and neon green retrograde counters
chapter ring with black and neon green satin-brushed finish
luminescent 18K gold Emerald applique and rhodium-plated indexes",N/A,Zalium,N/A,Zalium,automatic,HW3305,N/A,N/A,N/A,"excentered hours and minutes
retrograde seconds
retrograde days
date",N/A,"Limited edition

                            50"
HJTQHM00WW004,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/broadway-glasses-by-harry-winston-w1/18k-white-gold-hjtqhm00ww004,N/A,Harry Winston,N/A,N/A,Broadway Glasses by Harry Winston,N/A,Limited edition: 1 piece,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,28 x 22 mm,N/A,N/A,7.3 mm,N/A,N/A,N/A,3,N/A,diamond setting,N/A,18K white gold,N/A,N/A,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,N/A
PRNAHM36WW023,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/premier-hypnotic-opal-mosaic-automatic-36mm-w1/blue-pearl-alligator-leather-prnahm36ww023,N/A,Harry Winston,N/A,N/A,Premier Hypnotic Opal Mosaic Automatic 36mm,N/A,Limited edition: 8 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,36.4 mm,N/A,N/A,10.5 mm,N/A,N/A,N/A,3,N/A,"mosaic background pavé 
Australian blue opal",N/A,18K white gold,N/A,18K white gold,automatic,HW2008,N/A,N/A,N/A,"hours and minutes
operating movement indicator",N/A,"Total gem-setting

                            261 baguette-cut diamonds (approx. 9.38 cts)72 baguette-cut blue sapphires (approx. 0.87 carat)24 princess-cut diamonds (approx. 0.32 carat)4 brilliant-cut diamonds (approx. 0.19 carat)1 brilliant-cut blue sapphire (approx. 0.05 carat)"
HJTQHM14WW015,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/signature-7-by-harry-winston-w1/18k-white-gold-hjtqhm14ww015,N/A,Harry Winston,N/A,N/A,Signature 7 by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,14 mm,N/A,N/A,4 mm,N/A,N/A,N/A,3,N/A,diamond setting,N/A,18K white gold,N/A,18K white gold,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            428 brilliant-cut diamonds (approx. 34.92 cts)"
HJTQHM14PP004,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/marble-marquetry-by-harry-winston-p1/platinum-hjtqhm14pp004,N/A,Harry Winston,N/A,N/A,Marble Marquetry by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,14.4 x 16.6 mm,N/A,N/A,7 mm,N/A,N/A,N/A,3,N/A,invisible setting,N/A,platinum,N/A,platinum,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            82 brilliant-cut diamonds (approx. 4.01 cts)66 baguette-cut diamonds (approx. 0.81 carat)60 pear-cut diamonds (approx. 4.66 cts)28 baguette-cut blue sapphires (approx. 0.26 carat)22 pear-cut blue sapphires (approx. 3.42 cts)6 brilliant-cut blue sapphires (approx. 0.12 carat)"
HJTQHM00WW005,https://www.harrywinston.com/en/products/high-jewelry-timepieces-by-harry-winston/precious-signature-by-harry-winston-w1/18k-white-gold-hjtqhm00ww005,N/A,Harry Winston,N/A,N/A,Precious Signature by Harry Winston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,187.6 x 75.7 mm,N/A,N/A,26 mm,N/A,N/A,N/A,3,N/A,"sunray satin-brushed finish
opal
18K gold Emerald applique",N/A,gold Zalium opal,N/A,N/A,quartz,HW1051,N/A,N/A,N/A,hours and minutes,N/A,N/A
OCEAMP42WW004,https://www.harrywinston.com/en/products/harry-winston-the-ocean-collection/ocean-date-moon-phase-baguette-automatic-42mm-w2/white-alligator-leather-oceamp42ww004,N/A,Harry Winston,N/A,N/A,Ocean Date Moon Phase Baguette Automatic 42mm,N/A,Limited edition: 25 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,42.2 mm,N/A,N/A,10.5 mm,N/A,N/A,N/A,10,N/A,"white
moon phase disc with blue varnish and handmade 18K yellow gold moon cabochon",N/A,18K white gold,N/A,18K white gold,automatic,HW3203,N/A,N/A,N/A,"excentered hours and minutes
date
moon phase",N/A,"Total gem-setting

                            165 baguette-cut diamonds (approx. 5.59 cts)
49 brilliant-cut diamonds (approx. 0.08 carat)
1 Emerald-cut diamond (approx. 0.06 carat)"
